,precision,recall,f1-score,support
0,0.5105315947843531,0.509,0.5097646469704556,1000.0
1,0.48554913294797686,0.504,0.4946025515210991,1000.0
2,0.34934497816593885,0.16,0.2194787379972565,1000.0
3,0.352112676056338,0.175,0.23380093520374082,1000.0
4,0.3280881195908733,0.417,0.36723910171730517,1000.0
5,0.38598326359832635,0.369,0.3773006134969325,1000.0
6,0.3888121546961326,0.563,0.4599673202614379,1000.0
7,0.4591728525980912,0.433,0.44570252187339165,1000.0
8,0.5261261261261261,0.584,0.5535545023696683,1000.0
9,0.4414976599063963,0.566,0.49605609114811566,1000.0
accuracy,0.428,0.428,0.428,0.428
macro avg,0.4227218558470553,0.42800000000000005,0.4157467022559403,10000.0
weighted avg,0.4227218558470553,0.428,0.41574670225594035,10000.0
